City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Alta Floresta,BR,2022-05-15 04:37:43,-9.8756,-56.0861,74.61,77,98,2.82
240,Cape Town,ZA,2022-05-15 04:33:31,-33.9258,18.4232,54.12,86,0,2.3
241,Gurh,IN,2022-05-15 04:37:43,24.5167,81.5167,109.74,9,12,13.58
242,Uyemskiy,RU,2022-05-15 04:37:44,64.4743,40.8524,46.45,87,40,4.47
243,Luohe,CN,2022-05-15 04:37:44,33.5717,114.0353,79.0,20,99,6.17
244,Turkmenabat,TM,2022-05-15 04:37:44,39.0733,63.5786,73.38,43,0,9.22
245,Aasiaat,GL,2022-05-15 04:37:45,68.7098,-52.8699,11.55,96,28,3.76
246,Puerto Suarez,BO,2022-05-15 04:37:45,-18.95,-57.8,70.32,93,55,4.43
247,Waiuku,NZ,2022-05-15 04:37:45,-37.25,174.75,68.25,84,100,10.85
248,Goderich,CA,2022-05-15 04:37:46,43.7501,-81.7165,55.72,88,90,6.91
249,Half Moon Bay,US,2022-05-15 04:37:46,37.4636,-122.4286,65.28,78,100,19.57
250,Burnie,AU,2022-05-15 04:37:46,-41.0667,145.9167,58.95,82,71,20.22
251,Lata,PT,2022-05-15 04:36:53,40.1629,-8.3327,59.56,90,92,5.08
252,Cherskiy,RU,2022-05-15 04:37:47,68.75,161.3,28.36,74,96,15.46
253,Denpasar,ID,2022-05-15 04:36:48,-8.65,115.2167,87.46,74,20,10.36
254,Saskylakh,RU,2022-05-15 04:35:40,71.9167,114.0833,32.9,99,100,10.07
255,Bambous Virieux,MU,2022-05-15 04:34:26,-20.3428,57.7575,78.22,83,40,8.05
256,Saint George,US,2022-05-15 04:37:47,37.1041,-113.5841,82.99,13,0,1.01
257,Ikongo,MG,2022-05-15 04:37:48,-21.8833,47.4333,68.04,82,88,1.07
258,Inhambane,MZ,2022-05-15 04:37:48,-23.865,35.3833,64.38,94,40,4.61
259,Yaroslavskaya,RU,2022-05-15 04:37:48,44.6106,40.4642,60.03,59,0,5.1
260,Soe,ID,2022-05-15 04:37:49,-9.8607,124.284,77.36,70,78,4.9
261,Athabasca,CA,2022-05-15 04:37:49,54.7169,-113.2854,46.81,57,2,6.31
262,Alofi,NU,2022-05-15 04:37:49,-19.0595,-169.9187,76.89,61,83,6.91
263,Podyuga,RU,2022-05-15 04:37:50,61.095,40.8647,46.9,97,100,4.56
264,Yarmouth,US,2022-05-15 04:35:19,41.7057,-70.2286,63.07,98,100,4.61
265,Cabo Rojo,PR,2022-05-15 04:37:50,18.0866,-67.1457,77.68,84,99,9.53
266,Canico,PT,2022-05-15 04:37:51,32.6333,-16.85,66.7,74,40,10.36
267,Bukama,CD,2022-05-15 04:37:51,-9.2,25.85,64.62,71,4,3.4
268,Kande,TG,2022-05-15 04:37:51,9.9578,1.0447,77.09,78,56,3.69
269,Sinnamary,GF,2022-05-15 04:37:52,5.3833,-52.95,77.56,92,100,7.83
270,Nanakuli,US,2022-05-15 04:37:52,21.3906,-158.1547,82.35,53,0,9.22
271,Kirovsk,UA,2022-05-15 04:34:05,48.6375,38.6428,55.24,67,36,12.48
272,Te Anau,NZ,2022-05-15 04:37:53,-45.4167,167.7167,52.68,82,10,1.88
273,Marsa Matruh,EG,2022-05-15 04:37:53,31.3525,27.2453,59.2,88,0,9.22
274,Killybegs,IE,2022-05-15 04:38:53,54.6333,-8.45,50.02,87,86,6.4
275,San Angelo,US,2022-05-15 04:38:54,31.4638,-100.437,82.89,39,0,5.75
276,Baie-Comeau,CA,2022-05-15 04:38:54,49.2168,-68.1489,53.28,47,0,8.05
277,Sovetskaya Gavan,RU,2022-05-15 04:38:54,48.9723,140.2878,55.15,43,100,10.36
278,Bereda,ES,2022-05-15 04:35:46,43.2686,-7.5406,52.02,99,100,2.8
279,Ahipara,NZ,2022-05-15 04:38:55,-35.1667,173.1667,64.69,81,59,9.71
280,Kahna Nau,PK,2022-05-15 04:38:55,31.3692,74.3653,98.64,22,0,16.11
281,Bushehr,IR,2022-05-15 04:38:55,28.9684,50.8385,82.49,34,0,9.22
282,Saint-Francois,FR,2022-05-15 04:38:56,46.4154,3.9054,50.68,93,0,2.3
283,Banjar,ID,2022-05-15 04:38:56,-8.19,114.9675,88.92,62,21,4.0
284,Sunrise Manor,US,2022-05-15 04:36:30,36.2111,-115.0731,89.11,9,0,6.91
285,Meiganga,CM,2022-05-15 04:38:56,6.5167,14.3,65.59,80,71,1.57
286,Whitehorse,CA,2022-05-15 04:34:30,60.7161,-135.0538,38.17,93,75,6.91
287,Shizunai,JP,2022-05-15 04:38:57,42.3339,142.3669,51.01,79,93,14.72
288,Le Pradet,FR,2022-05-15 04:38:57,43.1066,6.0172,62.38,88,76,8.1
289,Taoudenni,ML,2022-05-15 04:38:58,22.6783,-3.9836,79.0,9,13,11.79
290,Yabelo,ET,2022-05-15 04:37:44,4.8833,38.0833,61.23,76,71,11.03
291,Staszow,PL,2022-05-15 04:38:58,50.5631,21.1659,52.5,80,32,8.99
292,Mayo,US,2022-05-15 04:38:58,38.8876,-76.5119,66.72,97,100,0.0
293,Kaina,NG,2022-05-15 04:38:59,12.6374,8.5873,78.19,18,84,2.91
294,Mutata,CO,2022-05-15 04:38:59,7.2441,-76.4356,75.02,98,100,1.88
